player_key,player_name,country,season_avg,season_rank,matches_in_window,avg_last10,stdev_last10,best_last10,worst_last10,avg_last5,avg_prev5,trend,wins_last10,win_rate_last10,last_match_date,mean_opp_avg,mean_perf_vs_opp,sos_n,checkout_pct,total_180s,first9_avg,profile_url
14385,Adam Lipscombe,ENG,89.82,74,10,88.1,4.55,93.2,79.98,90.26,85.94,4.32,3,0.3,2026-05-12,93.42,-5.33,10,36.99,123.0,97.29,https://dartsorakel.com/player/details/14385/adam-lipscombe
17,Ian White,ENG,89.77,75,10,91.99,3.76,97.85,85.03,93.3,90.69,2.62,4,0.4,2026-05-12,93.63,-1.63,10,37.1,167.0,97.78,https://dartsorakel.com/player/details/17/ian-white
10123,Jimmy van Schie,NED,89.75,76,10,92.66,4.06,100.5,86.51,92.23,93.09,-0.86,4,0.4,2026-05-12,94.98,-2.32,10,39.2,380.0,98.46,https://dartsorakel.com/player/details/10123/jimmy-van-schie
5137,Scott Williams,ENG,89.74,77,10,90.26,3.72,94.45,82.71,88.21,92.31,-4.09,3,0.3,2026-05-05,91.43,-1.17,10,37.55,216.0,97.87,https://dartsorakel.com/player/details/5137/scott-williams
1982,Raymond van Barneveld,NED,89.72,78,10,87.29,4.77,96.05,77.79,85.73,88.86,-3.12,1,0.1,2026-05-12,94.65,-7.36,10,37.72,168.0,96.58,https://dartsorakel.com/player/details/1982/raymond-van-barneveld
5183,Chris Landman,NED,89.59,79,10,88.33,4.54,93.71,79.98,89.66,87.0,2.66,4,0.4,2026-05-12,92.02,-3.69,10,37.24,194.0,97.36,https://dartsorakel.com/player/details/5183/chris-landman
5162,Dennie Olde Kalter,NED,89.28,80,10,88.32,5.04,95.88,79.69,86.47,90.16,-3.69,3,0.3,2026-05-12,90.92,-2.6,10,36.26,172.0,96.18,https://dartsorakel.com/player/details/5162/dennie-olde-kalter
153,Ricardo Pietreczko,GER,89.2,81,10,84.13,4.27,93.94,76.31,82.3,85.97,-3.67,3,0.3,2026-05-12,87.39,-3.26,10,36.96,155.0,96.23,https://dartsorakel.com/player/details/153/ricardo-pietreczko
5193,Thibault Tricole,FRA,89.1,82,10,86.74,5.92,100.03,79.81,87.16,86.32,0.84,3,0.3,2026-05-12,91.6,-4.86,10,38.62,135.0,95.38,https://dartsorakel.com/player/details/5193/thibault-tricole
19,Mervyn King,ENG,89.05,83,10,92.03,4.43,100.89,85.4,93.91,90.14,3.77,3,0.3,2026-05-12,94.56,-2.53,10,36.78,219.0,98.15,https://dartsorakel.com/player/details/19/mervyn-king
